CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8064","ENGR 212","1","Electronics","3","","Lec","MWF","0900-0950","LUTR 269","Keshtkar Vanashi, Hessam","33","Open",
"8065","ENGR 212L","1","Electronics Laboratory","1","","Lab","T","1800-2045","LUTR 206","Keshtkar Vanashi, Hessam","18","Open",
"8066","ENGR 212L","2","Electronics Laboratory","1","","Lab","W","1800-2045","LUTR 206","Fernandez, Jose","18","Open",
"8067","ENGR 213","1","Discrete Structures-Comp Appl","3","","Lec","MWF","0900-0950","LUTR 322","Henry, Samuel","27","Open",
"8068","ENGR 213","2","Discrete Structures-Comp Appl","3","","Lec","MWF","1000-1050","LUTR 322","Henry, Samuel","27","Open",
"8913","ENVS 505","1","Technical &amp; Scientific Writing","3","","Lec","M","1730-2020","FORBES 2012","Atkinson, Robert","15","Open",
"9266","ENVS 519","1","Restoration Ecology","3","","Lec","MW","1600-1715","FORBES 2070A","Waldien, David","19","Open",
"8903","ENVS 534","1","Marine Ecology","4","","Lec","MWF","1100-1150","FORBES 3012","Burke, Russell","5","Open",
"8904","ENVS 534L","1","Marine Ecology Lab","0","","Lab","F","1300-1650","FORBES 2051","Burke, Russell","5","Open",
"8898","ENVS 535","1","Ornithology","4","","Lec","MWF","1100-1150","FORBES 2043","Sherwin, Richard","5","Open",
"8899","ENVS 535L","1","Ornithology Laboratory","0","","Lab","W","1300-1650","FORBES 2043","Sherwin, Richard","5","Open",
"8789","ENVS 540","1","Environmental Microbiology","4","","Lec","MWF","1100-1150","FORBES 2070C","Knies, Jennifer","5","Open",
"8790","ENVS 540L","1","Environmental Microbiology Lab","0","","Lab","M","1300-1650","FORBES 1002","Knies, Jennifer","5","Open",
"8914","ENVS 550","1","Global Change","3","","Lec","R","1730-2020","FORBES 2051","Whiting, Gary","12","Open",
"8915","ENVS 555","1","GIS and Spatial Analysis Techn","4","","Lec","TR","0930-1045","FORBES 2051","Whiting, Gary","5","Open",
"8916","ENVS 555L","1","GIS and Spatial Analysis Techn","0","","Lab","T","1330-1720","FORBES 2051","Whiting, Gary","5","Open",
"8917","ENVS 690","1","Evidence-based Decsn Making","3","","Lec","W","1730-2020","FORBES 2070A","Waldien, David","15","Open",
"8918","ENVS 699","1","Thesis Research","1 - 6","","Ind","R","1630-1720","FORBES 2014","Steven, Janet","15","Open",
"8993","EVST 220","2","Intro to Environmental Studies","3","","Lec","TR","1630-1745","MCM 114","Redick, Kip","18","Open",
"8375","FINC 300","1","Managerial Finance","3","","Lec","MW","1930-2045","MCM 164","Paine, Peter","24","Open",
"8376","FINC 300","2","Managerial Finance","3","","Lec","MW","1800-1915","MCM 164","Paine, Peter","24","Open",
"8377","FINC 324","1","Principles of Investment","3","","Lec","TR","1330-1445","LUTR 123","Ji, Xiuqing","24","Open",
"8378","FINC 324","2","Principles of Investment","3","","Lec","TR","1500-1615","LUTR 123","Ji, Xiuqing","24","Open",
"8379","FINC 325","1","Mgmt of Financial Institutions","3","","Lec","TR","0800-0915","LUTR 123","Hall, Thomas","24","Open",
"8380","FINC 325","2","Mgmt of Financial Institutions","3","","Lec","TR","0930-1045","LUTR 123","Hall, Thomas","24","Open",
"9273","FINC 325","3","Mgmt of Financial Institutions","3","","Lec","TR","1330-1445","LUTR 142","Hall, Thomas","24","Open",
"8381","FINC 424","1","Portfolio Management","3","","Lec","MWF","1100-1150","MCM 110","Chen, Xian","28","Open",
