CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"9092","HONR 490","1","HNRS WI: Probl in Modern World","3","  HON  WI","Lec","TR","1100-1215","MCM 200C","Timani, Hussam","15","Open",
"9093","HONR 490","2","HNRS WI: Probl in Modern World","3","  HON  WI","Lec","MW","1600-1715","TRIB 208","Paul, Jay","15","Open",
"9094","HONR 490","3","HNRS WI: Probl in Modern World","3","  HON  WI","Lec","TR","1330-1445","MCM 300B","Paul, Jay","15","Open",
"9095","HONR 490","4","HNRS WI: Probl in Modern World","3","  HON  WI","Lec","MWF","1200-1250","FERG 210","Godwin, Laura","15","Open",
"9153","IDST 201","1","Intro Health, Med &amp; Wellness","3","","Lec","TR","1500-1615","TRIB 208","Timmer, Andria","19","Open",
"9237","IDST 210","1","Childhood Study: Hist, Lit, Ed","3","","Lec","TR","1630-1745","FORBES 3014","Shortsleeve, Kevin","25","Open",
"9269","IDST 210","2","Childhood Study: Hist, Lit, Ed","3","","Lec","TR","1800-1915","FORBES 3014","Shortsleeve, Kevin","25","Open",
"8668","IDST 255","1","Intro Women, Gender &amp; Sexualty","3","  AIGM","Lec","TR","0930-1045","MCM 366","Puaca, Laura","19","Open",
"8669","IDST 255","2","Intro Women, Gender &amp; Sexualty","3","  AIGM","Lec","TR","1100-1215","MCM 366","Puaca, Laura","19","Open",
"8615","IDST 377","1","Advanced Museum Studies","3","","Lec","TR","1800-1915","TFAC 204","Salomon, David","19","Open",
"8396","IDST 470","1","Seminar in Civ Eng &amp; Soc Jus","3","","Lec","TR","1800-1915","MCM 312","Covington, Brooke","25","Open",
"9191","IDST 490","1","IDST Capstone Project","3","","Ind","TR","0930-1045","FORBES 3012","Loy, Christopher","19","Open",
"8693","ITAL 102","1","Beginning Italian II","3","","Lec","MWF","1500-1550","MCM 360","Rodilosso, Maria","19","Open",
"8694","ITAL 102","2","Beginning Italian II","3","","Lec","MWF","1600-1650","MCM 360","Rodilosso, Maria","19","Open",
"8695","ITAL 202","1","Intermediate Italian II","3","  LLFL","Lec","TR","1500-1615","MCM 364","Rodilosso, Maria","19","Open",
"8696","LATN 102","1","Beginning Latin II","3","","Lec","MWF","1200-1250","MCM 210","Pollio, David","23","Open",
"8697","LATN 102","2","Beginning Latin II","3","","Lec","MWF","1300-1350","MCM 210","Pollio, David","23","Open",
"8698","LATN 202","1","Intermediate Latin II","3","  LLFL","Lec","TR","0930-1045","MCM 260","Kreiner, Jared","23","Open",
"8699","LATN 303","1","Roman Orators","3","  LLFL","Lec","MWF","1300-1350","MCM 212","Buszard, Bradley","15","Open",
"8700","LATN 403","1","Roman Orators","3","  LLFL","Lec","MWF","1300-1350","MCM 212","Buszard, Bradley","4","Open",
"9096","LDSP 240","1","Theories/Persp on Leadership","3","","Lec","TR","0800-0915","FORBES 3014","Harter, Nathan","26","Open",
"9105","LDSP 240","10","Theories/Persp on Leadership","3","","Lec","TR","1500-1615","LUTR 242","Chace, Sarah","19","Open",
"9106","LDSP 240","11","Theories/Persp on Leadership","3","","Lec","M","1800-2100","LUTR 170","Tanner, Kelly","26","Open",
"9107","LDSP 240","12","Theories/Persp on Leadership","3","","Lec","TR","1100-1215","FORBES 3014","Waters, Molly","26","Open",
"9108","LDSP 240","13","Theories/Persp on Leadership","3","","Lec","TR","1330-1445","FERG 207","Throupe, Lori","26","Open",
"9109","LDSP 240","14","Theories/Persp on Leadership","3","","Lec","TR","1500-1615","FORBES 3012","Waters, Molly","19","Open",
"9110","LDSP 240","15","Theories/Persp on Leadership","3","","Lec","MW","1600-1715","LUTR 142","Hench, Jessica","26","Open",
"9111","LDSP 240","16","Theories/Persp on Leadership","3","","Lec","MW","1800-1915","LUTR 142","Hench, Jessica","26","Open",
"9112","LDSP 240","17","Theories/Persp on Leadership","3","","Lec","MWF","1000-1050","LUTR 347","Callahan, Kathleen","26","Open",
"9267","LDSP 240","18","Theories/Persp on Leadership","3","","Lec","TR","1630-1745","FORBES 3012","Waters, Molly","19","Open",
"9097","LDSP 240","2","Theories/Persp on Leadership","3","","Lec","TR","0930-1045","FORBES 3014","Harter, Nathan","26","Open",
"9098","LDSP 240","3","Theories/Persp on Leadership","3","","Lec","TR","1930-2045","LUTR 264","Hench, Jessica","19","Open",
"9099","LDSP 240","4","Theories/Persp on Leadership","3","","Lec","TR","1630-1745","LUTR 242","Chace, Sarah","26","Open",
"9101","LDSP 240","6","Theories/Persp on Leadership","3","","Lec","MWF","0900-0950","LUTR 347","Little, Sabrina","26","Open",
"9102","LDSP 240","7","Theories/Persp on Leadership","3","","Lec","MWF","1200-1250","MCM 312","Cusher, Brent","26","Open",
"9103","LDSP 240","8","Theories/Persp on Leadership","3","","Lec","MWF","1100-1150","MCM 312","Cusher, Brent","26","Open",
"9104","LDSP 240","9","Theories/Persp on Leadership","3","","Lec","T","1800-2100","FORBES 2070A","Hankle, Dominick","26","Open",
"9113","LDSP 250","1","Environmental Leadership","3","","Lec","TR","1930-2045","LUTR 269","Redekop, Benjamin","24","Open",
"9199","LDSP 295","1","SPC TP: Followership","3","","Lec","T","1800-2100","LUTR 372","Throupe, Lori","26","Open",
"9114","LDSP 320","1","Leadership Through the Ages","3","","Lec","MWF","0900-0950","TRIB 208","Tian, Qingyan","26","Open",
"9115","LDSP 320","2","Leadership Through the Ages","3","","Lec","MWF","1000-1050","TRIB 208","Tian, Qingyan","26","Open",
"9117","LDSP 320","4","Leadership Through the Ages","3","","Lec","M","1800-2100","LUTR 347","Lapke, Shalyn","26","Open",
"9119","LDSP 320","6","Leadership Through the Ages","3","","Lec","TR","1330-1445","LUTR 264","Redekop, Benjamin","26","Open",
"9120","LDSP 320","7","Leadership Through the Ages","3","","Lec","TR","1500-1615","LUTR 264","Redekop, Benjamin","19","Open",
"9158","LDSP 320","8","Leadership Through the Ages","3","","Lec","TR","1800-1915","LUTR 264","Hench, Jessica","26","Open",
"9121","LDSP 330","1","Cross-Cultural Leadership","3","AIGM","Lec","MWF","1300-1350","TRIB 208","Tian, Qingyan","19","Open",
"9122","LDSP 330","2","Cross-Cultural Leadership","3","AIGM","Lec","MWF","1400-1450","TRIB 208","Tian, Qingyan","19","Open",
"9123","LDSP 338","1","Leading Adaptive Change","3","","Lec","TR","1100-1215","LUTR 242","Shollen, S.","19","Open",
"9124","LDSP 338","2","Leading Adaptive Change","3","","Lec","TR","1630-1745","LUTR 137","Shollen, S.","15","Open",
"9125","LDSP 360","1","Promises &amp; Perils of Ambition","3","","Lec","MWF","1300-1350","MCM 312","Cusher, Brent","19","Open",
"9126","LDSP 370","1","Leading in Healthcare Industry","3","","Lec","W","1800-2100","LUTR 264","Waters, Molly","26","Open",
"9246","LDSP 395","1","SPC TP:COVID-19 &amp; Constitution","3","","Lec","TR","1630-1745","LUTR 372","Mims, William","12","Open",
"9127","LDSP 442","1","Values &amp; Ethics in Leadership","3","","Lec","TR","0800-0915","TRIB 208","Lapke, Shalyn","17","Open",
"9128","LDSP 442","2","Values &amp; Ethics in Leadership","3","","Lec","TR","1330-1445","FORBES 3012","Waters, Molly","17","Open",
"9129","LDSP 442","3","Values &amp; Ethics in Leadership","3","","Lec","TR","1100-1215","TRIB 208","Lapke, Shalyn","17","Open",
"9130","LDSP 442","4","Values &amp; Ethics in Leadership","3","","Lec","TR","0930-1045","TRIB 208","Lapke, Shalyn","17","Open",
"9131","LDSP 442","5","Values &amp; Ethics in Leadership","3","","Lec","MWF","1100-1150","LUTR 170","Little, Sabrina","17","Open",
"9132","LDSP 442","6","Values &amp; Ethics in Leadership","3","","Lec","MWF","1200-1250","LUTR 170","Little, Sabrina","17","Open",
"9133","LDSP 442","7","Values &amp; Ethics in Leadership","3","","Lec","MWF","1300-1350","LUTR 137","Callahan, Kathleen","17","Open",
"9134","LDSP 442","8","Values &amp; Ethics in Leadership","3","","Lec","MWF","1400-1450","LUTR 137","Callahan, Kathleen","17","Open",
"9135","LDSP 442","9","Values &amp; Ethics in Leadership","3","","Lec","MWF","1500-1550","LUTR 137","Callahan, Kathleen","17","Open",
"9136","LDSP 464","1","LDSP in Complex Contexts","3","","Lec","T","1800-2100","FORBES 2074","Harter, Nathan","17","Open",
"8442","MATH 109","1","Thrthcl Fndtn of Elem Schl Mth","3","","Lec","TR","1100-1215","LUTR 352","Lenhart, Sara","19","Open",
"8443","MATH 109","2","Thrthcl Fndtn of Elem Schl Mth","3","","Lec","TR","1330-1445","LUTR 352","Lenhart, Sara","19","Open",
"8444","MATH 115","1","Contemporary Mathematics","3","  LLFM","Lec","MWF","0900-0950","LUTR 372","Tong, Zheng","34","Open",
"8445","MATH 115","2","Contemporary Mathematics","3","  LLFM","Lec","MWF","1200-1250","LUTR 372","Tong, Zheng","34","Open",
"8446","MATH 115","3","Contemporary Mathematics","3","  LLFM","Lec","TR","1330-1445","LUTR 372","Martin, James","34","Open",
"8447","MATH 115","4","Contemporary Mathematics","3","  LLFM","Lec","TR","1500-1615","LUTR 372","Martin, James","34","Open",
"8449","MATH 120","1","The Saga of Mathematics","3","  LLFM","Lec","TR","0800-0915","LUTR 264","Lenhart, Sara","29","Open",
"8450","MATH 125","1","Elementary Statistics","3","  LLFM","Lec","MWF","0800-0850","LUTR 269","Carpenter, Ryan","34","Open",
"8460","MATH 125","11","Elementary Statistics","3","  LLFM","Lec","MWF","1500-1550","LUTR 372","Staff, CNU","0","Closed",
"8451","MATH 125","2","Elementary Statistics","3","  LLFM","Lec","MWF","1000-1050","LUTR 372","Williams, Marla","34","Open",
"8452","MATH 125","3","Elementary Statistics","3","  LLFM","Lec","MWF","1100-1150","LUTR 372","Williams, Marla","34","Open",
"8453","MATH 125","4","Elementary Statistics","3","  LLFM","Lec","MWF","1300-1350","LUTR 372","Williams, Marla","34","Open",
"8454","MATH 125","5","Elementary Statistics","3","  LLFM","Lec","MW","1600-1715","LUTR 372","Perry, James","34","Open",
"8455","MATH 125","6","Elementary Statistics","3","  LLFM","Lec","MW","1800-1915","LUTR 372","Perry, James","34","Open",
"8456","MATH 125","7","Elementary Statistics","3","  LLFM","Lec","TR","0930-1045","LUTR 372","Tong, Zheng","34","Open",
"8457","MATH 125","8","Elementary Statistics","3","  LLFM","Lec","TR","1100-1215","LUTR 372","Tong, Zheng","34","Open",
"8458","MATH 125","9","Elementary Statistics","3","  LLFM","Lec","TR","0800-0915","LUTR 372","Kelly, James","34","Open",
"8461","MATH 127","1","Elementary Cryptography","3","  LLFM","Lec","MWF","1300-1350","FORBES 2070C","Kennedy, Christopher","29","Open",
"8462","MATH 128","1","Intro-Mathematical Programming","3","  LLFM","Lec","MWF","1000-1050","FORBES 2014","Martin, James","25","Open",
"8463","MATH 130","1","Precalculus","3","  LLFM","Lec","MWF","0900-0950","FORBES 2070C","Chen, Hongwei","34","Open",
"8464","MATH 130","2","Precalculus","3","  LLFM","Lec","MWF","1100-1150","LUTR 347","Delmage, Erin","34","Open",
"8465","MATH 130","3","Precalculus","3","  LLFM","Lec","MW","1600-1715","LUTR 347","Vaughan, Sherry","0","Closed",
"8466","MATH 130","4","Precalculus","3","  LLFM","Lec","TR","1500-1615","LUTR 376","McMorris, David","34","Open",
"8467","MATH 130","5","Precalculus","3","  LLFM","Lec","TR","1630-1745","LUTR 376","McMorris, David","34","Open",
"9262","MATH 130","6","Precalculus","3","  LLFM","Lec","TR","1100-1215","FORBES 2070A","McMorris, David","34","Open",
"8468","MATH 131","1","Math for the Life Sciences","3","  LLFM","Lec","TR","1330-1445","FERG 210","Samuels, Charles","29","Open",
"8469","MATH 132","1","Concepts for Calculus","3","  LLFM","Lec","MWF","1400-1450","LUTR 376","Samuels, Charles","34","Open",
"8471","MATH 135","1","Calculus for Busn/Social Sci","3","  LLFM","Lec","MWF","1200-1250","LUTR 347","Delmage, Erin","24","Open",
"8472","MATH 135","2","Calculus for Busn/Social Sci","3","  LLFM","Lec","MWF","1300-1350","FORBES 3012","Dobrescu, Mihaela","23","Open",
"8473","MATH 135","3","Calculus for Busn/Social Sci","3","  LLFM","Lec","MW","1800-1915","LUTR 352","Vaughan, Sherry","0","Closed",
"8474","MATH 135","4","Calculus for Busn/Social Sci","3","  LLFM","Lec","TR","1500-1615","FORBES 2070C","Staff, CNU","24","Open",
"8475","MATH 135","5","Calculus for Busn/Social Sci","3","  LLFM","Lec","TR","1630-1745","FORBES 2070C","Staff, CNU","24","Open",
"8476","MATH 140","1","Calculus and Analytic Geometry","4","  LLFM","Lec","MTWRF","0800-0850","LUTR 376","Martin, James","25","Open",
"8477","MATH 140","2","Calculus and Analytic Geometry","4","  LLFM","Lec","MTWRF","1100-1150","LUTR 376","Kelly, James","25","Open",
"8478","MATH 140","3","Calculus and Analytic Geometry","4","  LLFM","Lec","MWF; TR","0900-0950; 0930-1020","LUTR 376; LUTR 376","Bradie, Brian","25","Open",
"8479","MATH 140","4","Calculus and Analytic Geometry","4","  LLFM","Lec","MWF; TR","1300-1350; 1330-1420","LUTR 376; LUTR 376","Kuster, George","25","Open",
"8480","MATH 235","1","Applied Matrix Techniques","3","  LLFM","Lec","MWF","0900-0950","LUTR 264","Carpenter, Ryan","29","Open",
"8481","MATH 235","2","Applied Matrix Techniques","3","  LLFM","Lec","TR","1100-1215","LUTR 264","Carpenter, Ryan","29","Open",
"8482","MATH 240","1","Intermediate Calculus","4","  LLFM","Lec","MW; F","0800-0915; 0800-0850","FORBES 2070A; FORBES 2070A","Fogarty, Neville","25","Open",
"8483","MATH 240","2","Intermediate Calculus","4","  LLFM","Lec","MW; F","1000-1115; 1000-1050","FORBES 2070A; FORBES 2070A","Dobrescu, Mihaela","25","Open",
"8484","MATH 240","3","Intermediate Calculus","4","  LLFM","Lec","MW; F","1200-1315; 1200-1250","LUTR 139; LUTR 139","Bradie, Brian","25","Open",
"8485","MATH 240","4","Intermediate Calculus","4","  LLFM","Lec","MW; F","1400-1515; 1400-1450","FORBES 3012; FORBES 3012","Chen, Hongwei","25","Open",
"8486","MATH 245","1","Proofs and Discrete Math","3","  LLFM","Lec","TR","0930-1045","LUTR 242","Fogarty, Neville","25","Open",
"8487","MATH 247","1","Intro Ordinary Differential Eq","3","  LLFM","Lec","MWF","0800-0850","FORBES 2074","Chen, Hongwei","25","Open",
"8488","MATH 247","2","Intro Ordinary Differential Eq","3","  LLFM","Lec","TR","1500-1615","LUTR 170","Panayotova, Iordanka","25","Open",
"8489","MATH 250","1","Multivariable Calculus","3","  LLFM","Lec","TR","0930-1045","LUTR 264","Carpenter, Ryan","25","Open",
"8490","MATH 260","1","Linear Algebra","3","  LLFM","Lec","MWF","1200-1250","LUTR 264","Perry, James","25","Open",
"8491","MATH 260","2","Linear Algebra","3","  LLFM","Lec","MWF","1400-1450","LUTR 372","Williams, Marla","25","Open",
"8492","MATH 301","1","WI: Writing in Mathematics","1","  LLFM  WI","Lec","F","1300-1350","LUTR 352","Fogarty, Neville","12","Open",
"8493","MATH 303","1","WI: Mathematics in Context","1","  LLFM  WI","Lec","W","1300-1350","LUTR 352","Carpenter, Ryan","12","Open",
"8494","MATH 330","1","Graph Theory and Combinatorics","3","  LLFM","Lec","MWF","0900-0950","LUTR 352","Kennedy, Christopher","19","Open",
"8495","MATH 347","1","Intermediate Differential Equa","3","  LLFM","Lec","MWF","1400-1450","FORBES 2074","Kelly, Jessica","25","Open",
"8496","MATH 355","1","Complex Variables","3","  LLFM","Lec","MWF","0800-0850","LUTR 142","Dobrescu, Mihaela","25","Open",
"8497","MATH 360","1","Real Analysis I","3","  LLFM","Lec","MWF","1200-1250","FORBES 2070C","Samuels, Charles","25","Open",
"8498","MATH 373","1","Coding and Information","3","  LLFM","Lec","MWF","1000-1050","FORBES 3012","Fogarty, Neville","25","Open",
"8499","MATH 375","1","Linear Algebra/Its Application","3","  LLFM","Lec","MWF","1100-1150","LUTR 264","Perry, James","25","Open",
"8500","MATH 378","1","Elmntry Geomtry frm Adv Viewpt","3","  LLFM","Lec","TR","0930-1045","LUTR 352","Kuster, George","19","Open",
"9200","MATH 395","1","SPC TP:BIG Experiences in Math","3","  LLFM","Lec","TR","1500-1615","LUTR 352","Kelly, Jessica","19","Open",
"8501","MATH 440","1","Mathematical Modeling","3","  LLFM","Lec","TR","1330-1445","LUTR 170","Panayotova, Iordanka","25","Open",
"8502","MATH 451","1","Independent Learning Experienc","1","  LLFM","Lec","F","1100-1150","FORBES 2070A","Samuels, Charles","15","Open",
"8503","MATH 460","1","Real Analysis II","3","  LLFM","Lec","MWF","1200-1250","LUTR 352","Kelly, James","19","Open",
"8504","MATH 555","1","Pedagogy, Assess &amp; Research","3","","Lec","TR","1100-1215","LUTR 269","Kuster, George","10","Open",
"8425","MGMT 310","1","Leadership in Business","3","","Lec","MW","1600-1715","LUTR 170","Schwartz, Shoshana","25","Open",
"8426","MGMT 310","2","Leadership in Business","3","","Lec","TR","1330-1445","LUTR 269","Schwartz, Shoshana","35","Open",
"8427","MGMT 310","3","Leadership in Business","3","","Lec","TR","1500-1615","LUTR 269","Schwartz, Shoshana","25","Open",
"8428","MGMT 355","1","Management Science","3","","Lec","TR","1100-1215","LUTR 105","Kirac, Emre","28","Open",
"8429","MGMT 355","2","Management Science","3","","Lec","TR","0800-0915","LUTR 109","Kirac, Emre","28","Open",
"9142","MGMT 456","1","Project Management","3","","Lec","MW","1800-1915","LUTR 105","Davidson, Timothy","24","Open",
"9230","MGMT 456","2","Project Management","3","","Lec","MW","1930-2045","LUTR 105","Davidson, Timothy","24","Open",
"8433","MGMT 491","2","WI: Senior Sem in Management","3","  WI","Lec","MWF","1400-1450","TFAC 205","Manspile, Randal","18","Open",
"9255","MGMT 491","3","WI: Senior Sem in Management","3","  WI","Lec","MWF","1200-1250","LUTR 137","Bazzani, Phillip","18","Open",
"9256","MGMT 491","4","WI: Senior Sem in Management","3","  WI","Lec","MWF","0900-0950","LUTR 131","Bazzani, Phillip","18","Open",
"8434","MKTG 310","1","Interactive Marketing","3","","Lec","TR","1100-1215","LUTR 347","Kim, Dae-Hee","19","Open",
"8435","MKTG 310","2","Interactive Marketing","3","","Lec","TR","0930-1045","LUTR 347","Kim, Dae-Hee","19","Open",
"8436","MKTG 330","1","WI:Digital Marketing","3","  WI","Lec","MWF","1100-1150","LUTR 105","Hettche, Matthew","18","Open",
"8437","MKTG 330","2","WI:Digital Marketing","3","  WI","Lec","MWF","1200-1250","LUTR 105","Hettche, Matthew","18","Open",
"8439","MKTG 420","2","Consumer Research","3","","Lec","TR","1500-1615","LUTR 105","Kim, Dae-Hee","24","Open",
"8440","MKTG 470","1","Interactive Mktg Strategy","3","","Lec","TR","1630-1745","LUTR 269","Kim, Shin","24","Open",
"8441","MKTG 470","2","Interactive Mktg Strategy","3","","Lec","TR","0800-0915","LUTR 242","Kim, Shin","24","Open",
"8701","MLAN 203","1","Internatl Folktales Engl Trans","3","  AICE","Lec","MWF","1400-1450","MCM 162","McInnis, Brian","24","Open",
"8702","MLAN 308","1","Cross Cultural Awareness","3","  AIGM","Lec","MWF","1200-1250","MCM 366","Siewe Seuchie, Patricia","24","Open",
"8703","MLAN 308","2","Cross Cultural Awareness","3","  AIGM","Lec","MWF","1400-1450","MCM 160","Obeid, Diana","24","Open",
"8704","MLAN 310","1","WI:Texts in Context","3","  AICE  WI","Lec","MWF","1100-1150","MCM 357","Mulryan, Michael","15","Open",
"8741","MLAN 511","1","Advanced Strategies in TESOL","3","","Lec","T","1630-1915","MCM 200D","Grau, Michelle","17","Open",
"8005","MLSC 102","1","Intro to Tactical Leadership","2","","Lec","TR","0800-0915","MCM 112","Jones, Justin","29","Open",
"8006","MLSC 102L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 112","Jones, Justin","29","Open",
"8007","MLSC 202","1","Foundat of Tactical Leadership","2","","Lec","TR","0930-1045","MCM 112","Patti, Joseph","26","Open",
"8008","MLSC 202L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 112","Patti, Joseph","26","Open",
"9203","MLSC 295","1","SPC TP: Art &amp; Science Mil Log","3","","Lec","TR","1500-1615","MCM 112","Killblane, Richard","29","Open",
"8009","MLSC 302","1","Ldshp in Changing Environments","3","","Lec","TR","1100-1215","MCM 112","York, Michael","19","Open",
"8010","MLSC 302L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 112","York, Michael","19","Open",
"8011","MLSC 402","1","Leadership in a Complex World","3","","Lec","TR","1330-1445","MCM 112","Finch, Jason","19","Open",
"8012","MLSC 402L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 112","Finch, Jason","19","Open",
"8742","MUSC 012","1","Performance Attendance","0","","Fie","","","ARR ","Reimer, Mark","99","Open",
"8743","MUSC 014","1","Clarinet Masterclass","0","","Lab","","","ARR ","Byerly, Michael","0","Closed",
"8752","MUSC 014","10","Trumpet Masterclass","0","","Lab","W","1200-1250","FERG R106","Nixon, Mark","0","Closed",
"8753","MUSC 014","11","Horn Masterclass","0","","Lab","","","ARR ","Slater, Stephen","0","Closed",
"8754","MUSC 014","12","Trombone Masterclass","0","","Lab","","","ARR ","Espy, Christopher","0","Closed",
"8755","MUSC 014","13","Organ Masterclass","0","","Lab","","","ARR ","Kwan, Kevin","0","Closed",
"8756","MUSC 014","14","Voice Masterclass","0","","Lab","","","ARR ","Holland, Rachel","0","Closed",
"8757","MUSC 014","15","Composition Masterclass","0","","Lab","","","ARR ","Tfirn, Maxwell","0","Closed",
"8758","MUSC 014","16","Guitar Masterclass","0","","Lab","","","ARR ","Sully, Ballard","0","Closed",
"9260","MUSC 014","17","Music Theater Voic Masterclass","0","","Lab","T","1230-1320","FERG R118","Ruffer, Colin","0","Closed",
"9261","MUSC 014","18","Music Theater Voic Masterclass","0","","Lab","R","1230-1330"," ","Ruffer, Colin","0","Closed",
"9276","MUSC 014","19","Euphonium Masterclass","0","","Lab","","","ARR ","Cipriano, James","0","Closed",
"8744","MUSC 014","2","Composition Masterclass","0","","Lab","W","1200-1250","FERG 213","Tfirn, Maxwell","0","Closed",
"9277","MUSC 014","20","Woodwinds Masterclass","0","","Lab","","","ARR ","Savige, David","0","Closed",
"8745","MUSC 014","3","Percussion Masterclass","0","","Lab","","","ARR ","Jacobson, James","0","Closed",
"8746","MUSC 014","4","Piano Masterclass","0","","Lab","R","1230-1320","FERG R118","Corbin, Benjamin","0","Closed",
"8747","MUSC 014","5","Strings Masterclass","0","","Lab","","","ARR ","Tews, Jacob","0","Closed",
"8748","MUSC 014","6","Voice Masterclass","0","","Lab","","","ARR ","McGuire, John","0","Closed",
"8749","MUSC 014","7","Woodwinds Masterclass","0","","Lab","","","ARR ","Hammers, Jason","0","Closed",
"8750","MUSC 014","8","Woodwinds Masterclass","0","","Lab","","","ARR ","Longmire, Kelly","0","Closed",
"8751","MUSC 014","9","Woodwinds Masterclass","0","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"8759","MUSC 100","1","University Chorale","1","  AICE","Lab","TR","1630-1745","FERG R118","Irving, John","49","Open",
"8760","MUSC 101","1","Wind Ensemble","1","  AICE","Lab","TR","1630-1820","FERG R106","Reimer, Mark","49","Open",
"8761","MUSC 102","1","University Orchestra","1","  AICE","Lab","TR","1630-1820","FERG A183","Tews, Jacob","49","Open",
"8762","MUSC 103","1","Jazz Ensemble","1","  AICE","Lab","MWF","1300-1350","FERG R106","Rossum, Kelly","24","Open",
"8763","MUSC 104","1","Chamber Ensemble","1","","Lab","MF","1200-1250","FERG 213","Tfirn, Maxwell","12","Open",
"8764","MUSC 104","2","Chamber Ensemble","1","","Lab","WF","1100-1150","FERG R106","Corbin, Benjamin","19","Open",
"8765","MUSC 105","1","Chamber Choir","1","  AICE","Lab","MWF","1300-1430","FERG R118","Irving, John","0","Closed",
"8766","MUSC 108","1","Jazz Combo","1","","Lab","T","1930-2130","FERG R106","Hamm, Joseph","19","Open",
"8767","MUSC 114","1","University Band","1","  AICE","Lab","MW","1600-1750","FERG R106","Johnson, Mark","99","Open",
"8769","MUSC 116","2","Keyboard Skills II","1","","Lab","TR","1100-1215","FERG 213","Tomassetti, Elizabeth","13","Open",
"8770","MUSC 122","1","String Chamber Music","1","","Lab","","","ARR ","Tews, Jacob","19","Open",
"8771","MUSC 123","1","Pep Band","0 - 1","","Lab","W","2000-2200","FERG R106","Johnson, Mark","165","Open",
"8772","MUSC 124","1","Percussion Ensemble","1","","Lab","MWF","1500-1550","FERG R106","Amman, Scott","24","Open",
"8773","MUSC 127","1","Ensemble Accompanying","1","","Lab","","","ARR ","Corbin, Benjamin","19","Open",
"8774","MUSC 136","1","Elements of Music: Music Thtr","3","","Lec","MWF","0900-0950","FERG 207","Johnson, Mark","19","Open",
"8775","MUSC 137","1","Intro to Music Education","1","","Lab","TR","1330-1445","FERG A182","Ankney, Kimberly","19","Open",
"8776","MUSC 139","1","Adv Keyboard Skills: Musc Thea","1","","Lab","TR","0930-1045","FERG 213","Kim, Seung-Hye","13","Open",
"8777","MUSC 139","2","Adv Keyboard Skills: Musc Thea","1","","Lab","TR","1500-1615","FERG 213","Kim, Seung-Hye","13","Open",
"8778","MUSC 144","1","Aural Skills II: Music Theatre","1","","Lab","TR","1100-1215","FERG 210","McNeill, Michael","19","Open",
"8779","MUSC 200","1","Music Technology","1","","Lec","MWF","1100-1150","FERG 213","Tfirn, Maxwell","12","Open",
"8780","MUSC 210","1","Aural Skills II","1","","Lab","TR","0930-1045","FERG 210","McNeill, Michael","19","Open",
"8781","MUSC 212","1","Music Theory II: Diatonic Hrmn","3","","Lec","MWF","1000-1050","FERG 210","Hamm, Chelsey","19","Open",
"8782","MUSC 216","1","Advanced Keyboard Skills IV","1","","Lab","TR","1330-1445","FERG 213","Kim, Seung-Hye","13","Open",
"8783","MUSC 230","1","Woodwind Instrument Techniques","1","","Lab","MWF","0900-0950","FERG A183","Chieffo, Eugene","19","Open",
"8784","MUSC 250","1","String Instrument Techniques","1","","Lab","TR","1500-1615","FERG A182","Ankney, Kimberly","19","Open",
"8785","MUSC 261","1","Opera Workshop","1","","Lab","MWF","1500-1550","FERG A183","McGuire, John","19","Open",
"8786","MUSC 266","1","Foreign Language Diction II","1","","Lec","MWF","1100-1150","FERG A183","Cook, Carol","19","Open",
"8935","MUSC 304","1","History of Western Music II","3","","Lec","TR","0930-1045","FERG A183","Doleac, Benjamin","19","Open",
"8936","MUSC 306","1","Global Transformations","3","  AIGM","Lec","TR","1330-1445","FERG A183","Doleac, Benjamin","19","Open",
"8937","MUSC 310","1","Aural Skills IV","1","","Lab","TR","1100-1215","FERG A183","Tews, Jacob","19","Open",
"8938","MUSC 312","1","Music Theory IV: Form/Post Ton","3","","Lec","MWF","1100-1150","FERG 210","Hamm, Chelsey","19","Open",
"8939","MUSC 315","1","Aesthtcs &amp; Techniqs Music Tech","3","  AICE","Lec","MWF","1000-1050","FERG 213","Tfirn, Maxwell","12","Open",
"8940","MUSC 401","1","WI:Sem in Music Bibliography","3","  WI","Lec","TR","1500-1615","FERG A183","Doleac, Benjamin","19","Open",
"8941","MUSC 417","1","Studio Production","3","","Lec","TR","1330-1445","FERG R118","Tfirn, Maxwell","12","Open",
"8942","MUSC 440","1","Orchestral Lit &amp; Conducting","3","","Lec","TR","1330-1445","FERG 208","Tews, Jacob","19","Open",
"9216","MUSC 450","1","Vocal Literature","3","","Lec","MWF","1000-1050","FERG A183","Holland, Rachel","19","Open",
"8943","MUSC 490","1","WI:Falk Sem Music Hist Rsrch","3","  WI","Lec","MWF","1500-1550","FERG 210","Hamm, Chelsey","19","Open",
"8945","MUSC 517","1","Secondary Instrumental Methods","3","","Lec","TR","1100-1215","FERG A182","Ankney, Kimberly","18","Open",
"8946","MUSC 518","1","Secondary Choral Methods","3","","Lec","MW","1500-1615","FERG R118","Irving, John","18","Open",
